File name	SHA1 base32	MD5	SHA-256
CTF21_Heisenberg_SM-N970U1_QualcommLive_2021-07-22.zip	GF3JQLUGF5LLTRLV7BVFAT6CRYTKDKYP	DC68897A3F1690E9671048BDC75EBE8D	14A4D01D6E38A6B599C4FCB3CE3B91673533537B14086A22DFB2868CA158E06C
CTF21_Beth_iPhoneX_FFS_checkm8_2021-07-29.zip	SEOTMN4T3BKJGIA7PXXCXP4WNEIQBCLD	7094E2C584FCFBB1CCC346EBAB4D0A21	75DB63B93C67A45EC308C2AF2C66647768A6CB49E8130AB46B07F51BE8433EE3
CTF21_Marsha_iPhoneX_FFS_Premium_2021_07_29.zip.001	GQVG7TXSKYR37HDEVQFSOCFTNRYQFHRF	B5960A524E10469E6E6C01A6FAD1A917	749A0FEFC5653C83BEA647EB27E9EDB6A10BE66638F550E026FED4A11C85F36A
CTF21_Marsha_iPhoneX_FFS_Premium_2021_07_29.zip.002	Z4N32W33VGQB4JVSYJGWORGSKQLJHXRM	B8233A33CBCDC15A23B7FF3AFDDE3D38	C23ED03ED23138D6248ABD7D40CE13DB10B9CC81D87E6826BB5347D9E9E5D3B3
CTF21_Marsha_iPhoneX_FFS_Premium_2021_07_29.zip.003	4LKSL55PVG6G4L7XVIWJCM5UMJIOVVSE	E5D8DD9C223C3424B04A377E023E0D37	28442B121F993099BDF3B8B0EA73A9B26D469275F91764F03CBE78D359993995
CTF21_Marsha_PC_Physical_DC_2021-07-29.zip.001	VRSGZXXG7AJJ2C5FMMKC4PSMQKM5SGLO	BB935C146EE6CB7B976D66902428C2BE	EBB0A5B1E0670250E702A1E4E5A7831D21D7E0B9FE878D430B8F625FF26E06CF
CTF21_Marsha_PC_Physical_DC_2021-07-29.zip.002	EVLEYRSB5PPDLRTRP4F2XEBY2SJXTVTT	F1A11B91291EB09D27E2B7635CE9D777	F6A29AA3CB1C9FDC9775DC99432533A80612E6CEA3E6BC3E7E237F33F6FA24BB
CTF21_Marsha_PC_Physical_DC_2021-07-29.zip.003	BRVRGZDXMTNOV2NJJXZAOQXZI2F4SC4Q	C272FA79389D0A0A42E1F659998AD7AF	617B63D4D92345F6B1A4C772F6B60296EBBDDA7C124859096D587B4870034165
CTF21_Marsha_PC_Physical_DC_2021-07-29.zip.004	7PLNEED3JGYIIJFL6GI35UDSKMQWKVEJ	D0D9924BA82127453E044522FF8F2E1C	D64B837919CBFD71109ACEEBD3FBC37E1DECCDF29682E87158D11AA8C35AF6A5
CTF21_Marsha_PC_Physical_DC_2021-07-29.zip.005	JMT4BNBSINCJKPGAX5MIGWI5CDC5UA4V	2F843CF18B14F6C81C71A3DF2028F000	372F20852E2E3A1C9ED3813DB3366240CC8AD8CFECC1491185648F4D2733FCBB
